address;number_floats
115184, Москва, Город Москва, Переулок Толмачевский Старый, дом 8, стр. 1;1
105064, Москва, Город Москва, Улица Земляной Вал, дом 34, к. 3;47
119072, Москва, Город Москва, Набережная Берсеневская, дом 20/2;1
115184, Москва, Город Москва, Переулок Овчинниковский Средний, дом 1, к. 13;1
115184, Москва, Город Москва, Переулок Толмачевский Старый, дом 8, стр. 5;1
115035, Москва, Город Москва, Набережная Овчинниковская, дом 8, стр. 2;1
101000, Москва, Город Москва, Переулок Спасоглинищевский Большой, дом 12, стр. 10;1
115035, Москва, Город Москва, Набережная Овчинниковская, дом 8, стр. 1;1
115035, Москва, Город Москва, Набережная Овчинниковская, дом 8, стр. 3;1
109028, Москва, Город Москва, Переулок Ивановский Малый, дом 13;15
119017, Москва, Город Москва, Улица Ордынка Малая, дом 7;1
109028, Москва, Город Москва, Бульвар Покровский, дом 3, стр. 1б;1
115035, Москва, Город Москва, Переулок Климентовский, дом 14;1
119017, Москва, Город Москва, Улица Ордынка Малая, дом 3;20
109240, Москва, Город Москва, Улица Солянка, дом 4, стр. 1;1
115035, Москва, Город Москва, Улица Садовническая, дом 8, к. 1;1
119019, Москва, Город Москва, Улица Моховая, дом 10, к. 2;1
119019, Москва, Город Москва, Улица Волхонка, дом 9, стр. 2;2
109240, Москва, Город Москва, Улица Солянка, дом 4, стр. 4;1
119019, Москва, Город Москва, Улица Волхонка, дом 9, стр. 4;1
105062, Москва, Город Москва, Переулок Подсосенский, дом 20/12, стр. 16;1
115035, Москва, Город Москва, Улица Садовническая, дом 19, стр. 1;1
119019, Москва, Город Москва, Улица Моховая, дом 10, к. 1;1
119002, Москва, Город Москва, Переулок Староконюшенный, дом 36, стр. 2;6
119002, Москва, Город Москва, Переулок Староконюшенный, дом 36, стр. 1;1
121099, Москва, Город Москва, Переулок Карманицкий, дом 12А, стр. 1;1
119017, Москва, Город Москва, Улица Ордынка Большая, дом 33, стр. 3;1
121099, Москва, Город Москва, Переулок Каменная Слобода, дом 7;1
119019, Москва, Город Москва, Улица Волхонка, дом 7/6;10
119017, Москва, Город Москва, Улица Ордынка Большая, дом 33, стр. 2;1
109074, Москва, Город Москва, Проезд Китайгородский, дом 7, стр. 3;1
109074, Москва, Город Москва, Проезд Китайгородский, дом 7, стр. 2;1
109074, Москва, Город Москва, Проезд Китайгородский, дом 7, стр. 1;1
105062, Москва, Город Москва, Переулок Подсосенский, дом 20/12, стр. 12;1
105062, Москва, Город Москва, Переулок Подсосенский, дом 20/12, стр. 13;1
119017, Москва, Город Москва, Переулок Старомонетный, дом 31, стр. 3Б;1
119019, Москва, Город Москва, Улица Волхонка, дом 9, стр. 1;1
Россия, Москва, Китайгородский проезд, 7с6;1
109074, Москва, Город Москва, Проезд Китайгородский, дом 7, стр. 5;1
119017, Москва, Город Москва, Переулок Старомонетный, дом 31, стр. 3А;1
Россия, Москва, Китайгородский проезд, 7с4;1
119034, Москва, Город Москва, Улица Пречистенка, дом 8, к. 2;1
125009, Москва, Город Москва, Улица Моховая, дом 7, к. 4;1
119002, Москва, Город Москва, Улица Арбат, дом 18, стр. 1;10
115184, Москва, Город Москва, Улица Татарская Большая, дом 24, к. 1;24
109028, Москва, Город Москва, Переулок Казарменный, дом 10, стр. 1;12
